model,model_label,score_run_count,cost_run_count,mean_overall_score,mean_total_tokens,mean_input_tokens,mean_cached_input_tokens,mean_output_tokens,input_price_usd_per_million,cached_input_price_usd_per_million,output_price_usd_per_million,effective_price_usd_per_million,estimated_cost_usd_per_run,pricing_as_of,pricing_model_id,pricing_provider,pricing_provider_tag,pricing_quantization,pricing_source_kind,pricing_selection_policy,pricing_catalog_url,pricing_endpoint_url,pricing_source_url,secondary_pricing_source_url,pricing_match_note,cost_method
gpt-5-mini,GPT-5 Mini,220,220,4.868182,228403.636364,218501.363636,193663.181818,9902.272727,0.125000,0.012500,1.000000,,0.015428,2026-08-22,openai/gpt-5-mini,OpenAI,openai/flex,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/openai/gpt-5-mini-2025-08-07/endpoints,https://openrouter.ai/openai/gpt-5-mini,,exact model,"uncached input, cached input, and output tokens priced separately"
deepseek-v4-flash,DeepSeek V4 Flash,220,218,6.854545,1552741.743119,1518166.972477,1482293.119266,34574.770642,0.058660,0.011732,0.117320,,0.023551,2026-08-22,deepseek/deepseek-v4-flash,StreamLake,streamlake/fp8,fp8,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/deepseek/deepseek-v4-flash-20260423/endpoints,https://openrouter.ai/deepseek/deepseek-v4-flash,,exact model,"uncached input, cached input, and output tokens priced separately"
gpt-5.6-luna-xhigh,GPT-5.6 Luna XHigh,220,220,7.672727,102654.995455,,,,0.100000,0.010000,0.600000,0.350000,0.035929,2026-08-22,openai/gpt-5.6-luna,OpenAI,openai/flex,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/openai/gpt-5.6-luna-20260709/endpoints,https://openrouter.ai/openai/gpt-5.6-luna,,exact model,50% input + 50% output price applied to mean reported tokens; cached input excluded
qwen3.7-plus,Qwen 3.7 Plus,220,219,6.977273,869938.812785,790404.109589,668529.680365,79534.703196,0.320000,0.064000,1.280000,,0.183590,2026-08-22,qwen/qwen3.7-plus,Alibaba,alibaba,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/qwen/qwen3.7-plus-20260602/endpoints,https://openrouter.ai/qwen/qwen3.7-plus,,exact model,"uncached input, cached input, and output tokens priced separately"
qwen-3.6-27B-udq4,Qwen 3.6 27B U-DQ4,220,220,6.290909,1273876.363636,1201860.000000,1142986.818182,72016.363636,0.300000,0.030000,2.000000,,0.195984,2026-08-22,qwen/qwen3.6-27b,Chutes,chutes/fp8,fp8,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/qwen/qwen3.6-27b-20260422/endpoints,https://openrouter.ai/qwen/qwen3.6-27b,,underlying Qwen 3.6 27B FP8 API endpoint used as proxy for evaluated U-DQ4 quantization,"uncached input, cached input, and output tokens priced separately"
gpt-5.2,GPT-5.2,220,220,7.513636,624659.545455,605874.545455,546515.909091,18785.000000,0.875000,0.087500,7.000000,,0.231254,2026-08-22,openai/gpt-5.2,OpenAI,openai/flex,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/openai/gpt-5.2-20251211/endpoints,https://openrouter.ai/openai/gpt-5.2,,exact model,"uncached input, cached input, and output tokens priced separately"
gpt-5.6-terra-xhigh,GPT-5.6 Terra XHigh,220,220,8.000000,72684.227273,,,,1.000000,0.100000,6.000000,3.500000,0.254395,2026-08-22,openai/gpt-5.6-terra,OpenAI,openai/flex,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/openai/gpt-5.6-terra-20260709/endpoints,https://openrouter.ai/openai/gpt-5.6-terra,,exact model,50% input + 50% output price applied to mean reported tokens; cached input excluded
gpt-5.6-sol-xhigh,GPT-5.6 Sol XHigh,220,220,8.286364,107145.827273,,,,1.000000,0.100000,5.000000,3.000000,0.321437,2026-08-22,openai/gpt-5.6-sol,OpenAI,openai/flex,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/openai/gpt-5.6-sol-20260709/endpoints,https://openrouter.ai/openai/gpt-5.6-sol,,exact model,50% input + 50% output price applied to mean reported tokens; cached input excluded
claude-haiku-4.5,Haiku 4.5,220,220,5.522727,1903764.222727,1884187.727273,1843686.818182,19576.495455,1.000000,0.100000,5.000000,,0.322752,2026-08-22,anthropic/claude-haiku-4.5,Anthropic,anthropic,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/anthropic/claude-4.5-haiku-20251001/endpoints,https://openrouter.ai/anthropic/claude-haiku-4.5,,exact model,"uncached input, cached input, and output tokens priced separately"
gpt-4.1,GPT-4.1,220,220,3.477273,547076.390909,541973.181818,462636.363636,5103.209091,2.000000,0.500000,8.000000,,0.430817,2026-08-22,openai/gpt-4.1,OpenAI,openai,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/openai/gpt-4.1-2025-04-14/endpoints,https://openrouter.ai/openai/gpt-4.1,,exact model,"uncached input, cached input, and output tokens priced separately"
gpt-5.2-codex,GPT-5.2 Codex,220,220,6.900000,455386.818182,436217.272727,366414.090909,19169.545455,1.750000,0.175000,14.000000,,0.454652,2026-08-22,openai/gpt-5.2-codex,Azure,azure,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/openai/gpt-5.2-codex-20260114/endpoints,https://openrouter.ai/openai/gpt-5.2-codex,,exact model,"uncached input, cached input, and output tokens priced separately"
claude-sonnet-4.5,Sonnet 4.5,220,220,6.222727,917014.090909,904295.000000,867950.000000,12719.090909,3.000000,0.300000,15.000000,,0.560206,2026-08-22,anthropic/claude-sonnet-4.5,Google,google-vertex/global,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/anthropic/claude-4.5-sonnet-20250929/endpoints,https://openrouter.ai/anthropic/claude-sonnet-4.5,,exact model,"uncached input, cached input, and output tokens priced separately"
gemini-3-pro-preview,Gemini 3 Pro,220,220,5.972727,828264.018182,809918.181818,703364.545455,18345.836364,2.000000,0.200000,12.000000,,0.573930,2026-08-22,google/gemini-3-pro-preview,Google,retired,unknown,retired OpenRouter listing plus public cache-rate fallback,retired model fallback; no live endpoint available,https://openrouter.ai/api/v1/models,,https://openrouter.ai/google/gemini-3-pro-preview-20251117/providers,https://marginalhq.com/models/gemini-3-pro,exact model,"uncached input, cached input, and output tokens priced separately"
claude-opus-4.6,Opus 4.6,220,220,7.259091,625846.818182,603587.727273,544623.181818,22259.090909,5.000000,0.500000,25.000000,,1.123612,2026-08-22,anthropic/claude-opus-4.6,Azure,azure/global,unknown,OpenRouter cheapest available endpoint,lowest estimated cost among live non-batch OpenRouter endpoints for the observed token mix; cached tokens use the input rate when no cache-read rate is listed,https://openrouter.ai/api/v1/models,https://openrouter.ai/api/v1/models/anthropic/claude-4.6-opus-20260205/endpoints,https://openrouter.ai/anthropic/claude-opus-4.6,,exact model,"uncached input, cached input, and output tokens priced separately"
