rank,model,model_label,run_count,mean_score,invalid,invalid_pct,no_speedup,no_speedup_pct,ok,ok_pct,good_top,good_top_pct
1,gpt-4.1,GPT-4.1,220,3.486364,127,57.727273,37,16.818182,41,18.636364,15,6.818182
2,qwen-3.6-27B-udq4-pi-t,Qwen 3.6 27B U-DQ4 Pi-T,220,3.500000,133,60.454545,4,1.818182,48,21.818182,35,15.909091
3,gpt-5-mini,GPT-5 Mini,220,4.872727,93,42.272727,20,9.090909,65,29.545455,42,19.090909
4,claude-haiku-4.5,Haiku 4.5,220,5.522727,65,29.545455,38,17.272727,80,36.363636,37,16.818182
5,gpt-5.6-luna-low,GPT-5.6 Luna Low,220,5.968182,52,23.636364,31,14.090909,87,39.545455,50,22.727273
6,gemini-3-pro-preview,Gemini 3 Pro,220,5.972727,53,24.090909,15,6.818182,90,40.909091,62,28.181818
7,claude-sonnet-4.5,Sonnet 4.5,220,6.222727,41,18.636364,28,12.727273,101,45.909091,50,22.727273
8,qwen-3.6-27B-udq4,Qwen 3.6 27B U-DQ4,220,6.309091,46,20.909091,22,10.000000,84,38.181818,68,30.909091
9,gpt-5.6-luna-medium,GPT-5.6 Luna Medium,220,6.750000,27,12.272727,22,10.000000,90,40.909091,81,36.818182
10,deepseek-v4-flash,DeepSeek V4 Flash,220,6.877273,24,10.909091,22,10.000000,91,41.363636,83,37.727273
11,gpt-5.2-codex,GPT-5.2 Codex,220,6.913636,17,7.727273,22,10.000000,94,42.727273,87,39.545455
12,qwen3.7-plus,Qwen 3.7 Plus,220,6.977273,21,9.545455,14,6.363636,92,41.818182,93,42.272727
13,claude-opus-4.6,Opus 4.6,220,7.295455,10,4.545455,11,5.000000,87,39.545455,112,50.909091
14,gpt-5.6-terra-low,GPT-5.6 Terra Low,220,7.309091,15,6.818182,16,7.272727,67,30.454545,122,55.454545
15,gpt-5.6-terra-medium,GPT-5.6 Terra Medium,220,7.427273,15,6.818182,10,4.545455,63,28.636364,132,60.000000
16,gpt-5.2,GPT-5.2,220,7.527273,11,5.000000,18,8.181818,61,27.727273,130,59.090909
17,gpt-5.6-luna-xhigh,GPT-5.6 Luna XHigh,220,7.709091,11,5.000000,4,1.818182,56,25.454545,149,67.727273
18,gpt-5.6-sol-low,GPT-5.6 Sol Low,220,7.713636,11,5.000000,1,0.454545,54,24.545455,154,70.000000
19,gpt-5.6-terra-xhigh,GPT-5.6 Terra XHigh,220,8.013636,6,2.727273,2,0.909091,48,21.818182,164,74.545455
20,gpt-5.6-sol-medium,GPT-5.6 Sol Medium,220,8.181818,6,2.727273,0,0.000000,34,15.454545,180,81.818182
21,gpt-5.6-sol-xhigh,GPT-5.6 Sol XHigh,220,8.304545,11,5.000000,0,0.000000,17,7.727273,192,87.272727
