dimension,value,corrections,corrected_successes,corrected_failures,comparable_times,median_time_ratio,p10_time_ratio,p25_time_ratio,p75_time_ratio,p90_time_ratio,min_time_ratio,max_time_ratio,score_increases,score_decreases,score_unchanged,median_score_delta
all,all,587,587,0,587,1.000131787032156,0.9847249831775011,0.9960637427340859,1.00628740824393,1.0335367950114884,0.007951429889065137,8.851178981603821,31,12,544,0
backend,hybrid,264,264,0,264,0.9995163624342337,0.9895823682166549,0.9955271560586286,1.0035378809518578,1.0120228070144093,0.8288650353563616,1.873543861099201,13,11,240,0.0
backend,mpi,323,323,0,323,1.000341238696468,0.976968478430882,0.9970686835461136,1.0142146482607008,1.0527210085349619,0.007951429889065137,8.851178981603821,18,1,304,0
benchmark,black-scholes,46,46,0,46,1.0128702016972015,0.8763300812563419,0.9920503740175777,1.1161990283874095,1.419759803820254,0.007951429889065137,8.851178981603821,2,8,36,0.0
benchmark,cahn-hilliard,48,48,0,48,1.005425286079976,0.9916967820135316,0.9970431111897692,1.0172057046248035,1.0235581058204597,0.9738636363636364,1.031127228770021,1,0,47,0.0
benchmark,cholesky,32,32,0,32,0.9969048060239543,0.9383564727893923,0.9761911256592107,1.014209596857623,1.035373874913455,0.8597122302158273,1.113677846731901,4,0,28,0.0
benchmark,floydwarshall,74,74,0,74,0.9953008076874932,0.9483425839218498,0.9859958822513216,1.0018837499019857,1.0262129826575626,0.6502492285782103,1.1523297491039426,0,2,72,0.0
benchmark,matmul,63,63,0,63,1.0023302780798509,0.980894362603341,0.9949945211444562,1.014047619047619,1.116488983653163,0.8413284132841329,1.2025316455696202,1,0,62,0
benchmark,nbody,94,94,0,94,1.0000502916918124,0.9952688019011342,0.9972241273729332,1.0016737575622172,1.0044026635625047,0.9917337855023315,1.0157706093189964,0,0,94,0.0
benchmark,qtclustering,73,73,0,73,1.0,0.9951474733055676,0.9991901303890074,1.0006211347862486,1.0234520788887251,0.8352059925093633,1.2128146453089246,0,1,72,0
benchmark,roomsim,31,31,0,31,1.0025728987993139,0.9949423107317844,0.9980342823231909,1.007098708405257,1.0192504607823059,0.977080862345636,1.110325550805656,14,0,17,0
benchmark,spmv,54,54,0,54,1.0000853387950164,0.9971512473584543,0.9988547640874419,1.0264835352328954,1.0460197011871772,0.9701285610342,1.2577903682719547,0,1,53,0.0
benchmark,stencil3d,37,37,0,37,0.9986987291303264,0.9812238625139478,0.9862531969309463,1.0033444816053512,1.0114201459259389,0.8845847704961528,1.0372400482509045,9,0,28,0
benchmark,unstructured,35,35,0,35,1.00110179122168,0.9961755186104909,0.9982631193393641,1.0024505475649357,1.006329472199119,0.9928543839320201,1.0449009083402148,0,0,35,0
model,claude-haiku-4.5,37,37,0,37,1.0005458515283843,0.9798578978097272,0.9958741619391439,1.009386916984453,1.092032095854824,0.753758424053914,8.851178981603821,2,2,33,0
model,claude-opus-4.6,98,98,0,98,1.0003948412945807,0.9819539850987551,0.9958698274942676,1.006926052293764,1.0268004299126903,0.8413284132841329,1.4408346539883783,9,3,86,0.0
model,claude-sonnet-4.5,53,53,0,53,0.999609145983975,0.9892606640414241,0.9967516647718044,1.003531489111242,1.0288709425469673,0.8845847704961528,1.873543861099201,1,1,51,0
model,deepseek-v4-flash,53,53,0,53,1.0006784260515604,0.9837759464940646,0.9977289931869796,1.0166666666666666,1.032072879243589,0.9048158640226629,1.2025316455696202,4,0,49,0
