benchmark,model,par_type,run,input_tokens,output_tokens,cached_tokens,api_time,total_time,code_additions,code_deletions,non_whitelisted_dependencies,validation_status,validation_err_string,benchmark_success,benchmark_times,benchmark_median_time,source_batch,source_path,total_tokens,benchmark_wall_times,benchmark_config_sha256
black-scholes,claude-haiku-4.5,cuda,1,781300.0,8700.0,749800.0,79.267,109.37,122,10,"",5,"",true,741.537;745.597;737.015;745.133;747.044,745.133,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r1,790000.0,3.225634479895234;3.2249129582196474;3.175762196071446;3.225593348965049;3.2257999815046787,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,cuda,2,829600.0,9800.0,802100.0,87.019,127.23,79,42,"",5,"",true,743.073;753.933;745.224;751.494;751.975,751.494,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r2,839400.0,3.225899076089263;3.2256179600954056;3.225998640060425;3.2260383926331997;3.2250800793990493,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,cuda,3,1300000.0,11300.0,1300000.0,129.028,185.01,77,13,"",5,"",true,48.84;48.632;48.817;48.793;48.821,48.817,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r3,1311300.0,3.0255756387487054;3.0258996849879622;3.025445298291743;2.9755618944764137;2.975403022952378,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,cuda,4,763900.0,9200.0,736200.0,100.0,282.3,77,12,"",5,"",true,44.368;47.308;51.923;50.285;48.867,48.867,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r4,773100.0,3.2259526904672384;3.22506654728204;3.2252539563924074;3.2259161435067654;3.2256359653547406,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,cuda,5,958300.0,8700.0,916300.0,87.0,388.87,67,24,"",5,"",true,48.149;44.702;49.364;52.563;52.508,49.364,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r5,967000.0,3.226451870985329;3.2258478458970785;3.22657835111022;3.2259874753654003;3.2257254058495164,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,hybrid,1,2100000.0,23800.0,2000000.0,202.382,307.84,239,77,"",5,"",false,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r1,2123800.0,"",20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,hybrid,2,3400000.0,30600.0,3400000.0,267.579,392.82,676,96,"",5,"",false,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r2,3430600.0,"",20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,hybrid,3,1300000.0,19200.0,1300000.0,162.475,290.05,199,55,"",5,"",true,1011.815;1033.519;1037.079;1028.995;1039.715,1033.519,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r3,1319200.0,17.40729724895209;17.408597704954445;17.358956281095743;17.30934674758464;17.353429588489234,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,hybrid,4,2200000.0,22100.0,2100000.0,220.0,919.39,238,94,"",5,"",true,1804.553;1789.773;1782.979;1821.114;1805.433,1804.553,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r4,2222100.0,19.914137066341937;19.914894142188132;19.814426274970174;19.964767928235233;19.815035624429584,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,hybrid,5,3200000.0,41100.0,3100000.0,322.0,873.1,355,154,"",5,"",false,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r5,3241100.0,"",20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,mpi,1,859000.0,9300.0,832000.0,81.411,133.33,153,51,"",5,"",true,13.594;13.114;13.684;13.244;13.766,13.594,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r1,868300.0,21.673707737587392;21.419995528645813;21.367598593235016;21.770770269446075;21.6702577797696,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,mpi,2,773800.0,7700.0,738300.0,74.234,117.72,109,32,"",5,"",true,12.492;18.093;8.308;8.365;8.277,8.365,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r2,781500.0,15.950007342733443;16.053561178036034;16.052349995821714;15.802325601689517;16.001771988347173,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,mpi,3,988300.0,11200.0,944900.0,136.838,214.45,132,46,"",5,"",true,73.798;39.356;50.812;27.795;27.291,39.356,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r3,999500.0,15.551531885750592;15.751433908008039;15.65115562081337;15.906269666738808;16.10805791337043,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,mpi,4,660000.0,6800.0,624400.0,63.0,202.11,143,43,"",4,Output comparison FAILED: Non-numeric value mismatch for object OptionPrices: 'Sum: 3.11366175001330208e+06' vs 'Sum: -nan',,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r4,666800.0,,
black-scholes,claude-haiku-4.5,mpi,5,708900.0,7900.0,672500.0,74.0,295.3,97,42,"",5,"",true,16.511;11.574;8.826;18.586;8.291,11.574,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r5,716800.0,16.103066216222942;15.99910403136164;16.003497815690935;15.706435489468277;15.90229838900268,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,omp,1,379800.0,4100.0,350800.0,40.0,53.36,8,5,"",5,"",true,33.828;34.924;32.555;35.404;33.339,33.828,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r1,383900.0,2.8246300602331758;2.774420890957117;2.8241015607491136;2.823038280941546;2.8238385701552033,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,omp,2,436600.0,4500.0,418600.0,58.0,72.48,7,4,"",5,"",true,34.278;32.419;32.919;33.018;33.896,33.018,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r2,441100.0,2.8241413068026304;2.8241832302883267;2.8741700872778893;2.8243850460276008;2.8736184993758798,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,omp,3,430600.0,4300.0,401600.0,55.0,73.06,10,6,"",5,"",true,32.881;32.366;32.912;33.921;32.939,32.912,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r3,434900.0,2.8232871033251286;2.826367909088731;2.824900260195136;2.7741426434367895;2.8246485898271203,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,omp,4,243700.0,3100.0,222900.0,40.0,51.07,6,2,"",5,"",true,37.658;33.979;38.454;33.612;33.541,33.979,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r4,246800.0,2.773413778282702;2.8235077476128936;2.826301363296807;2.8234752733260393;2.873721151612699,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-haiku-4.5,omp,5,328600.0,3400.0,301300.0,36.0,86.42,5,2,"",5,"",true,32.696;33.254;34.972;34.117;33.236,33.254,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r5,332000.0,2.8739653071388602;2.823698286898434;2.8737484347075224;2.8239953005686402;2.872833926230669,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
