benchmark,par_type,rank,id,median_time,ratio_to_fastest,ratio_to_previous,gap_to_previous
black-scholes,cuda,1,black-scholes_gpt-5.6-sol-xhigh_cuda_r5,19.521,1.0,,
black-scholes,cuda,2,black-scholes_gpt-5.6-sol-xhigh_cuda_r4,20.899,1.0705906459710055,1.0705906459710055,1.3780000000000001
black-scholes,cuda,3,black-scholes_gpt-5.6-sol-xhigh_cuda_r1,21.211,1.0865734337380255,1.0149289439686109,0.3119999999999976
black-scholes,cuda,4,black-scholes_claude-opus-4.6_cuda_r5,21.408,1.0966651298601506,1.0092876337749281,0.19700000000000273
black-scholes,cuda,5,black-scholes_claude-opus-4.6_cuda_r3,21.659,1.1095230777111826,1.0117245889387143,0.25099999999999767
black-scholes,cuda,6,black-scholes_gpt-5.6-sol-medium_cuda_r4,21.775,1.1154653962399466,1.0053557412622929,0.11599999999999966
black-scholes,cuda,7,black-scholes_gpt-5.6-luna-medium_cuda_r5,27.248,1.3958301316530914,1.2513432835820897,5.4730000000000025
black-scholes,cuda,8,black-scholes_gpt-5.2_cuda_r1,28.008,1.4347625633932686,1.0278919553728714,0.759999999999998
black-scholes,cuda,9,black-scholes_qwen-3.6-27B-udq4-pi-t_cuda_r4,28.384,1.4540238717278828,1.0134247357897743,0.3760000000000012
black-scholes,cuda,10,black-scholes_gpt-5.6-sol-medium_cuda_r1,28.418,1.455765585779417,1.0011978579481398,0.03399999999999892
black-scholes,cuda,11,black-scholes_gpt-5.6-terra-xhigh_cuda_r5,28.431,1.4564315352697095,1.0004574565416287,0.013000000000001677
black-scholes,cuda,12,black-scholes_gpt-5.6-terra-medium_cuda_r4,28.574,1.463756979662927,1.0050297210791037,0.14300000000000068
black-scholes,cuda,13,black-scholes_gpt-5.6-sol-low_cuda_r2,28.62,1.466113416320885,1.00160985511304,0.045999999999999375
black-scholes,cuda,14,black-scholes_gpt-5.6-terra-low_cuda_r5,28.781,1.4743609446237385,1.0056254367575121,0.1609999999999978
black-scholes,cuda,15,black-scholes_claude-sonnet-4.5_cuda_r5,28.917,1.4813278008298756,1.0047253396337863,0.13600000000000279
black-scholes,cuda,16,black-scholes_qwen3.7-plus_cuda_r3,29.004,1.4857845397264484,1.0030086108517482,0.08699999999999974
black-scholes,cuda,17,black-scholes_gpt-5.2_cuda_r5,29.732,1.5230777111828286,1.0250999862087986,0.727999999999998
black-scholes,cuda,18,black-scholes_gpt-5.6-sol-xhigh_cuda_r2,31.029,1.5895189795604732,1.0436230324229787,1.2970000000000006
black-scholes,cuda,19,black-scholes_gpt-5.6-terra-xhigh_cuda_r3,31.17,1.5967419701859535,1.0045441361307166,0.1410000000000018
black-scholes,cuda,20,black-scholes_qwen-3.6-27B-udq4_cuda_r2,31.173,1.5968956508375594,1.0000962463907603,0.002999999999996561
black-scholes,cuda,21,black-scholes_gpt-5.6-terra-low_cuda_r3,31.293,1.603042876901798,1.0038494851313637,0.120000000000001
black-scholes,cuda,22,black-scholes_gpt-5.6-luna-xhigh_cuda_r5,31.311,1.6039649608114337,1.0005752085130861,0.018000000000000682
black-scholes,cuda,23,black-scholes_gpt-5.6-terra-low_cuda_r1,31.317,1.6042723221146458,1.0001916259461532,0.006000000000000227
black-scholes,cuda,24,black-scholes_gpt-5.2_cuda_r4,31.32,1.6044260027662516,1.0000957946163425,0.0030000000000001137
black-scholes,cuda,25,black-scholes_gpt-5.6-terra-medium_cuda_r2,31.321,1.6044772296501204,1.0000319284802044,0.0010000000000012221
