bench,type,top,great,good,reviewed
black-scholes,cuda,49.364,195.945,755.182,true
black-scholes,hybrid,75.103,234.411,574.001,true
black-scholes,mpi,15.979,348.347,348.347,true
black-scholes,omp,24.431,29.651,29.651,true
cahn-hilliard,cuda,3235.357,4415.0,6410.536,true
cahn-hilliard,hybrid,586.387,1090.799,2806.855,true
cahn-hilliard,mpi,1750.0,3941.878,11149.0,true
cahn-hilliard,omp,2357.0,2357.0,2357.0,true
cholesky,cuda,27.0,183.0,911.0,true
cholesky,hybrid,288.0,825.0,2245.0,true
cholesky,mpi,58.0,427.0,1236.0,true
cholesky,omp,219.0,688.0,1973.0,true
floydwarshall,cuda,774.0,1781.0,5241.0,true
floydwarshall,hybrid,1003.0,3447.0,6950.052,true
floydwarshall,mpi,1474.0,2457.0,7828.921,true
floydwarshall,omp,1376.0,1772.0,6481.0,true
matmul,cuda,2069.225,2211.0,2211.0,true
matmul,hybrid,692.0,875.0,1696.0,true
matmul,mpi,1037.0,2944.0,11745.0,true
matmul,omp,1144.0,4425.0,10992.0,true
nbody,cuda,2540.0,3125.0,3681.0,true
nbody,hybrid,2069.0,3230.0,4797.0,true
nbody,mpi,2747.0,5152.0,6098.0,true
nbody,omp,784.0,1211.0,1211.0,true
qtclustering,cuda,3206.0,9681.0,25573.0,true
qtclustering,hybrid,860.0,3808.267,26803.0,true
qtclustering,mpi,580.0,3629.0,22768.0,true
qtclustering,omp,203.0,2947.0,8047.0,true
roomsim,cuda,7231.0,14393.0,28750.0,true
roomsim,hybrid,356.0,777.0,6467.0,true
roomsim,mpi,7366.0,8050.0,17384.0,true
roomsim,omp,2255.0,7234.0,18100.0,true
spmv,cuda,1666.574,2355.424,4504.0,true
spmv,hybrid,2133.0,3310.0,6623.0,true
spmv,mpi,1565.662,1833.0,5406.0,true
spmv,omp,804.0,804.0,804.0,true
stencil3d,cuda,2123.0,3956.0,4674.0,true
stencil3d,hybrid,3644.0,6331.0,7151.339,true
stencil3d,mpi,1996.0,4828.165,10982.193,true
stencil3d,omp,466.0,737.0,842.0,true
unstructured,cuda,1535.783,3538.0,7571.0,true
unstructured,hybrid,4633.0,10514.0,14299.0,true
unstructured,mpi,377.269,1119.0,7111.0,true
unstructured,omp,1066.0,2237.741,3025.0,true
