bench,type,top,great,good,fastest,successful_results,reviewed
black-scholes,cuda,,,,19.521,95,false
black-scholes,hybrid,,,,21.655,68,false
black-scholes,mpi,,,,7.818,103,false
black-scholes,omp,,,,23.529,105,false
cahn-hilliard,cuda,,,,2490.492,95,false
cahn-hilliard,hybrid,,,,467.0,68,false
cahn-hilliard,mpi,,,,1409.0,82,false
cahn-hilliard,omp,,,,2265.0,105,false
cholesky,cuda,,,,7.0,84,false
cholesky,hybrid,,,,94.0,40,false
cholesky,mpi,,,,55.919,66,false
cholesky,omp,,,,80.0,62,false
floydwarshall,cuda,,,,202.0,94,false
floydwarshall,hybrid,,,,466.0,70,false
floydwarshall,mpi,,,,785.0,91,false
floydwarshall,omp,,,,1274.0,87,false
matmul,cuda,,,,1734.944,100,false
matmul,hybrid,,,,461.878,86,false
matmul,mpi,,,,400.0,99,false
matmul,omp,,,,1144.0,84,false
nbody,cuda,,,,2402.0,92,false
nbody,hybrid,,,,1740.221,82,false
nbody,mpi,,,,2747.0,95,false
nbody,omp,,,,641.0,100,false
qtclustering,cuda,,,,804.0,37,false
qtclustering,hybrid,,,,169.0,43,false
qtclustering,mpi,,,,30.0,84,false
qtclustering,omp,,,,131.0,31,false
roomsim,cuda,,,,4729.0,53,false
roomsim,hybrid,,,,342.0,31,false
roomsim,mpi,,,,4449.0,58,false
roomsim,omp,,,,2255.0,64,false
spmv,cuda,,,,1601.226,99,false
spmv,hybrid,,,,1793.547,73,false
spmv,mpi,,,,1381.833,100,false
spmv,omp,,,,328.0,88,false
stencil3d,cuda,,,,1717.0,94,false
stencil3d,hybrid,,,,2873.0,60,false
stencil3d,mpi,,,,1318.0,82,false
stencil3d,omp,,,,466.0,105,false
unstructured,cuda,,,,880.91,96,false
unstructured,hybrid,,,,2178.706,56,false
unstructured,mpi,,,,323.088,78,false
unstructured,omp,,,,1066.0,103,false
